time,power_cap,power_con,simultaneity_cap,simultaneity_con,storage_cap,storage_con,energy_cap,energy_con
0,1000,0,10,0,1000,0,2400000,0,
1,1000,82,10,2,1000,4,2400000,9840,
2,1000,0,10,0,1000,4,2400000,9840,
3,1000,0,10,0,1000,4,2400000,9840,
4,1000,0,10,0,1000,4,2400000,9840,
5,1000,0,10,0,1000,4,2400000,9840,
6,1000,0,10,0,1000,4,2400000,9840,
7,1000,0,10,0,1000,4,2400000,9840,
8,1000,0,10,0,1000,4,2400000,9840,
9,1000,0,10,0,1000,4,2400000,9840,
10,1000,0,10,0,1000,4,2400000,9840,
11,1000,0,10,0,1000,4,2400000,9840,
12,1000,0,10,0,1000,4,2400000,9840,
13,1000,0,10,0,1000,4,2400000,9840,
14,1000,0,10,0,1000,4,2400000,9840,
15,1000,0,10,0,1000,4,2400000,9840,
16,1000,0,10,0,1000,4,2400000,9840,
17,1000,0,10,0,1000,4,2400000,9840,
18,1000,0,10,0,1000,4,2400000,9840,
19,1000,0,10,0,1000,4,2400000,9840,
20,1000,0,10,0,1000,4,2400000,9840,
21,1000,0,10,0,1000,4,2400000,9840,
22,1000,0,10,0,1000,4,2400000,9840,
23,1000,0,10,0,1000,4,2400000,9840,
24,1000,0,10,0,1000,4,2400000,9840,
25,1000,0,10,0,1000,4,2400000,9840,
26,1000,0,10,0,1000,4,2400000,9840,
27,1000,0,10,0,1000,4,2400000,9840,
28,1000,0,10,0,1000,4,2400000,9840,
29,1000,0,10,0,1000,4,2400000,9840,
30,1000,0,10,0,1000,4,2400000,9840,
31,1000,0,10,0,1000,4,2400000,9840,
32,1000,0,10,0,1000,4,2400000,9840,
33,1000,0,10,0,1000,4,2400000,9840,
34,1000,0,10,0,1000,4,2400000,9840,
35,1000,0,10,0,1000,4,2400000,9840,
36,1000,0,10,0,1000,4,2400000,9840,
37,1000,0,10,0,1000,4,2400000,9840,
38,1000,0,10,0,1000,4,2400000,9840,
39,1000,0,10,0,1000,4,2400000,9840,
40,1000,0,10,0,1000,4,2400000,9840,
41,1000,0,10,0,1000,4,2520000,9840,
42,1000,0,10,0,1000,4,2640000,9840,
43,1000,0,10,0,1000,4,2760000,9840,
44,1000,0,10,0,1000,4,2880000,9840,
45,1000,0,10,0,1000,4,3000000,9840,
46,1000,0,10,0,1000,4,3120000,9840,
47,1000,0,10,0,1000,4,3240000,9840,
48,1000,0,10,0,1000,4,3360000,9840,
49,1000,0,10,0,1000,4,3480000,9840,
50,1000,0,10,0,1000,4,3600000,9840,
51,1000,0,10,0,1000,4,3720000,9840,
52,1000,0,10,0,1000,4,3840000,9840,
53,1000,0,10,0,1000,4,3960000,9840,
54,1000,0,10,0,1000,4,4080000,9840,
55,1000,0,10,0,1000,4,4200000,9840,
56,1000,0,10,0,1000,4,4320000,9840,
57,1000,0,10,0,1000,4,4440000,9840,
58,1000,0,10,0,1000,4,4560000,9840,
59,1000,0,10,0,1000,4,4680000,9840,
60,1000,0,10,0,1000,4,4800000,9840,
61,1000,0,10,0,1000,4,4800000,9840,
62,1000,0,10,0,1000,4,4800000,9840,
63,1000,0,10,0,1000,4,4800000,9840,
64,1000,0,10,0,1000,4,4800000,9840,
65,1000,0,10,0,1000,4,4800000,9840,
66,1000,0,10,0,1000,4,4800000,9840,
67,1000,0,10,0,1000,4,4800000,9840,
68,1000,0,10,0,1000,4,4800000,9840,
69,1000,0,10,0,1000,4,4800000,9840,
70,1000,0,10,0,1000,4,4800000,9840,
71,1000,0,10,0,1000,4,4800000,9840,
72,1000,0,10,0,1000,4,4800000,9840,
73,1000,0,10,0,1000,4,4800000,9840,
74,1000,0,10,0,1000,4,4800000,9840,
75,1000,0,10,0,1000,4,4800000,9840,
76,1000,0,10,0,1000,4,4800000,9840,
77,1000,0,10,0,1000,4,4800000,9840,
78,1000,0,10,0,1000,4,4800000,9840,
79,1000,0,10,0,1000,4,4800000,9840,
80,1000,0,10,0,1000,4,4800000,9840,
81,1000,0,10,0,1000,4,4800000,9840,
82,1000,0,10,0,1000,4,4800000,9840,
83,1000,0,10,0,1000,4,4800000,9840,
84,1000,0,10,0,1000,4,4800000,9840,
85,1000,0,10,0,1000,4,4800000,9840,
86,1000,0,10,0,1000,4,4800000,9840,
87,1000,0,10,0,1000,4,4800000,9840,
88,1000,0,10,0,1000,4,4800000,9840,
89,1000,0,10,0,1000,4,4800000,9840,
90,1000,0,10,0,1000,4,4800000,9840,
91,1000,0,10,0,1000,4,4800000,9840,
92,1000,0,10,0,1000,4,4800000,9840,
93,1000,0,10,0,1000,4,4800000,9840,
94,1000,0,10,0,1000,4,4800000,9840,
95,1000,0,10,0,1000,4,4800000,9840,
96,1000,0,10,0,1000,4,4800000,9840,
97,1000,0,10,0,1000,4,4800000,9840,
98,1000,0,10,0,1000,4,4800000,9840,
99,1000,0,10,0,1000,4,4800000,9840,
100,1000,0,10,0,1000,0,4800000,0,
